num	date	company	role	score	status	pdf	report	notes	channel	source	url	cv	cover
18	2026-06-12	Accor (ibis Santa Coloma)	Recepcionista Polivalente	2.5/5	SKIP	❌	[018](reports/018-accor-ibis-santa-coloma-2026-06-12.md)	⛔ 3 blockers: turno no noche explícito + inglés medio-prof + URL 404 (37 días, expirado)					
16	2026-06-12	Meliá Hotels (MIM Sitges)	Recepcionista	2.0/5	SKIP	❌	[016](reports/016-melia-mim-sitges-recepcionista-2026-06-12.md)	⛔ 3 blockers: no turno noche + inglés alto + Sitges fuera área objetivo					
17	2026-06-12	Accor (Ibis budget BCN)	Recepcionista	2.0/5	SKIP	❌	[017](reports/017-accor-ibis-budget-barcelona-center-2026-06-12.md)	⛔ Posting cerrado (404 + evento mayo completado) + 2 blockers: inglés fluido + no turno noche explícito					
15	2026-06-11	Meliá Barcelona Sarrià	Front Office Agent	2.0/5	Evaluated	❌	[015](reports/015-melia-barcelona-sarria-fo-agent-2026-06-11.md)	⛔ 2 blockers: hotel 5★ + inglés alto imprescindible					
6	2026-06-09	Accor/Ennismore (SLS Barcelona)	Night Auditor	3.5/5	Evaluated	❌	[006](reports/006-accor-sls-night-auditor-2026-06-09.md)	Arquetipo primario; salario €22-25K confirmado; gap luxury hotel + inglés fluido					
7	2026-06-09	Accor/Ennismore (SLS Barcelona)	Front Office Agent	3.2/5	Evaluated	❌	[007](reports/007-accor-sls-fo-agent-2026-06-09.md)	SLS luxury; temporal; priorizar #006 sobre este					
8	2026-06-09	Accor (Ibis Budget BCN)	Front Office Team Leader	3.0/5	Evaluated	❌	[008](reports/008-accor-ibis-fo-team-leader-2026-06-09.md)	Posting originalmente Open Day mayo 2024; verificar vigencia antes de aplicar					
9	2026-06-09	Meliá (Torre Melina Gran Meliá 5★)	Guest Service Line Agent	3.0/5	Evaluated	❌	[009](reports/009-melia-torre-melina-guest-service-2026-06-09.md)	Rol telefónico no presencial; sustitución; luxuría 5★ gap; italiano activo					
10	2026-06-09	Meliá (Meliá Barcelona Sky 4★)	Front Office Assistant	3.8/5	Evaluated	❌	[010](reports/010-melia-barcelona-sky-fo-assistant-2026-06-09.md)	Mejor entrada a Meliá; 4★ accesible; turnos nocturnos incluidos; Opera no esencial					
11	2026-06-09	Meliá (Torre Melina Gran Meliá 5★)	Front Office Agent	3.0/5	Evaluated	❌	[011](reports/011-melia-torre-melina-fo-agent-2026-06-09.md)	Luxury 5★; VIP upselling; gap elevado; mejor aplicar a Sky 4★ primero					
12	2026-06-15	Grup Núñez i Navarro	Recepcionista de Hotel (turno mañana)	4.2/5	Applied	✅	[012](reports/012-nunez-navarro-noche-2026-06-09.md)	€24-25K; Teamtailor; turno mañana 7-15h; CV 1p + carta adjuntos; gap Opera Cloud preparado para entrevista					
13	2026-06-10	Catalonia Hotels	Recepcionista Noches	4.2/5	Aplicado	✅	[013](reports/013-catalonia-hotels-noche-2026-06-09.md)	TeamTailor — postulado vía portal oficial. Indefinido 40h; cuadre de caja + incidencias = match perfecto; SAP diferencial					
14	2026-06-09	Hampton by Hilton Fira (Panoram)	Recepcionista Nocturno	4.3/5	Evaluated	✅	[014](reports/014-hampton-hilton-fira-nocturno-2026-06-09.md)	Night audit explícito; indefinido 40h; mejor oferta del lote; autonomía nocturna = clave					
5	2026-06-08	Room Mate Hotels	Auditor Nocturno Room Mate Barcelona	3.5/5	Applied		❌						
4	2026-06-08	Princess Hotels	Auditor Nocturno Negresco Princess	3.7/5	Applied	✅	[4](reports/004-negresco-princess-2026-06-08.md)	4★ Sup, indefinido 23-07h. Núcleo caja/auditoría fuerte. Riesgo: "dominio inglés" + sin ciclo Turismo.					
3	2026-06-08	Atiram Hotels	Recepcionista Nocturno (temporal)	3.5/5	Applied	❌	[003](reports/003-atiram-hotels-barcelona-2026-06-08.md)	Activa ✅ · nocturno ✅ · Atiram 3-4★ ✅ · inglés indispensable ⚠️ · SIHOT gap					
2	2026-06-07	NH Collection Calderón	Recepcionista	3.3/5	SKIP	❌	[002](reports/002-nh-collection-calderon-2026-06-07.md)	5★ + inglés alto imprescindible; no aplicar para no arriesgar candidatura Constanza (mismo grupo). Reconsiderar solo con B2 acreditado.					
1	2026-06-07	NH Collection Constanza	Night Auditor (temporal)	3.8/5	Applied	✅	[001](reports/001-nh-collection-constanza-2026-06-06.md)	Interino baja IT · 4★ · archetype primary · gap: sin exp. hotelera directa					
